Județ;Localitate;Adresa;Tip;Latitudine;Longitudine;Capacitatea
BIF;Sector 1+2;"Oregon Park Şos. Pipera, nr. 44-46 D  S. 1 + 2;";privat;44.481118;26.106331;400
BIF;Sector 1+2;"Pipera Business Park Şos. Pipera, nr. 43  S. 1+2;";privat;44.481837;26.104293;355
BIF;Sector 2;Fabrica de Glucoza 5A Proprietar RAAPPS-SAIFI;privat;44,476028;26.105173;41
BIF;Sector 2;Barbu Vacarescu 201 Birouri;privat;44,479787;26,102652;855
BIF;Sector 2;Sos PIPERA 42 Birouri;privat;44,480231;26,103951;148
BIF;Sector 2;Gara Herastrau 4A Corp C Birouri;privat;44,478740;26,106498;845
BIF;Sector 2;Gara Herastrau 4A Corp B Birouri;privat;44,478840;26,106139;484
BIF;Sector 2;Gara Herastrau 4A Corp A Birouri;privat;44,479105;26,105648;484
BIF;Sector 2;Gara Herastrau 4B Corp B Birouri;privat;44,479542;26,105112;180
BIF;Sector 2;Sos Pipera 43 S.C.Pipera Business Park S.R.L. Adp nr. 1;privat;44,481983;26,104016;99
BIF;Sector 2;Sos Pipera 43 S.C.Pipera Business Park S.R.L. Ap nr. 2;privat;44,481874;26,104065;98
BIF;Sector 2;Sos Pipera 43 S.C.Pipera Business Park S.R.L. Adp nr. 3;privat;44,481863;26,103873;158
BIF;Sector 2;"Sos Pipera 46D,46E,48 Oregon Park Corp A Portland
Trust Developments One";privat;44,480451;26,105582;177
BIF;Sector 2;"Sos Pipera 46D,46E,48 Oregon Park Corp B Portland
Trust Developments One";privat;44,480724;26,106258;177
BIF;Sector 2;"Calea Floreasca 202A Proprietar RAAPPS-SAIFI
Utilizator ANRP";privat;44,468996;26,103891;112
BIF;Sector 2;"Calea Floreasca 202A Proprietar RAAPPS-SAIFI
Utilizator ANRP";privat;44,469067;26,103884;138
BIF;Sector 2;Al. Câmpul Moşi 1 Bloc 2;privat;44,451564;26,126908;150
BIF;Sector 2;Al. Câmpul Moşi 3 Bloc 1;privat;44,451287;26,127227;160
BIF;Sector 2;Al. Câmpul Moşi 2 Bloc ALMO 5;privat;44,449896;26,125806;80
BIF;Sector 2;Al. Câmpul Moşi 4 Bloc ALMO 4;privat;44,450528;26,127392;80
BIF;Sector 2;Al.Sinaia 6 Bloc 72;privat;44,462942;26,134697;75
BIF;Sector 2;Al.Sinaia 10 Bloc 74;privat;44,463444;26,135060;75
BIF;Sector 2;Al.Sinaia 2 Bloc 81, sc. 1+2;privat;44,462258;26,134543;150
BIF;Sector 2;Al.Sinaia 4 Bloc 82, sc. 2;privat;44,462414;26,135006;150
BIF;Sector 2;Al.Sinaia 20 Bloc 84 B, sc. 1;privat;44,462851;26,136905;150
BIF;Sector 2;Al.Sinaia 20 Bloc 84 B, sc. 2;privat;44,462892;26,136912;150
BIF;Sector 2;Al.Sinaia 18 Bloc 84 A, sc. 1;privat;44,463456;26,136171;150
BIF;Sector 2;Al.Sinaia 18 Bloc 84 A, sc. 2;privat;44,463425;26,136232;150
BIF;Sector 2;Al.Sinaia 18 Bloc 84 A, sc. 3;privat;44,463343;26,136305;150
BIF;Sector 2;Al.Sinaia 14 Bloc 76, sc. 1;privat;44,463797;26,135438;100
BIF;Sector 2;Al.Teiul Doamnei 4 Bloc 21;privat;44,463701;26,127123;150
BIF;Sector 2;Al.Teiul Doamnei 8 Bloc 23;privat;44,463367;26,127323;150
BIF;Sector 2;Al.Teiul Doamnei 6 Bloc 22;privat;44,463437;26,127008;100
BIF;Sector 2;Al.Teiul Doamnei 10 Bloc 24;privat;44,463152;26,127206;100
BIF;Sector 2;Al.Teiul Doamnei 2 Bloc 20;privat;44,463814;26,126857;150
BIF;Sector 2;Aleea Bodeşti 9 Bloc 29 A, sc C;privat;44,440393;26,173994;150
BIF;Sector 2;Aleea Bodeşti 2 Bloc 29 B, sc. A;privat;44,439154;26,174368;150
BIF;Sector 2;Aleea Bodeşti 2 Bloc 29 B, sc. D;privat;44,439041;26,174343;150
BIF;Sector 2;Aleea Bodeşti 2 Bloc 29 B, sc. E;privat;44,439009;26,174281;150
BIF;Sector 2;Aleea Bodeşti 1 Bloc K 6;privat;44,439247;26,174501;130
BIF;Sector 2;Aleea Bodeşti 3 Bloc K 7;privat;44,439100;26,173687;130
BIF;Sector 2;Aleea Bodeşti 5 Bloc K 8;privat;44,438689;26,173060;130
BIF;Sector 2;Aleea Bodeşti 7 Bloc K 9;privat;44,439760;26,173896;130
BIF;Sector 2;Aleea Dobrina 4 Bloc 49 B;privat;44,444380;26,159219;300
BIF;Sector 2;Al. Dobrina 4 Bl. 49 B, sc.1+2;privat;44,444368;26,159122;300
BIF;Sector 2;Al. Hobita 1 Bloc 300, sc. A;privat;44,444761;26,249760;250
